City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,dwarka,22.2394,68.9678,30.37,72,13,5.93,IN,1717992484
358,puerto baquerizo moreno,-0.9,-89.6,22.16,89,58,2.72,EC,1717992484
359,margate,51.3813,1.3862,12.17,89,100,3.13,GB,1717992303
360,tolanaro,-25.0319,46.9987,17.24,81,94,3.68,MG,1717992485
361,huyton,53.4115,-2.8394,8.9,93,75,5.66,GB,1717992485
362,senador jose porfirio,-2.5908,-51.9542,23.4,96,28,0.23,BR,1717992485
363,grand baie,-20.0182,57.5802,24.14,78,96,3.13,MU,1717992485
364,floro,61.5996,5.0328,11.04,81,75,10.29,NO,1717992485
365,geraldton,-28.7667,114.6,18.23,94,75,8.75,AU,1717992486
366,onguday,50.75,86.15,22.65,53,71,1.48,RU,1717992486
367,mil'kovo,55.6078,37.7956,17.81,65,61,3.44,RU,1717992486
368,eirunepe,-6.6603,-69.8736,23.03,97,88,0.85,BR,1717992486
369,hotan,37.0997,79.9269,25.82,27,58,3.28,CN,1717992486
370,happy valley-goose bay,53.3168,-60.3315,10.34,88,71,2.08,CA,1717992486
371,cam ranh,11.9214,109.1591,32.98,55,20,7.2,VN,1717992487
372,darwin,-12.4611,130.8418,30.03,46,0,3.58,AU,1717992182
373,beroroha,-21.6667,45.1667,14.72,80,0,1.4,MG,1717992487
374,colchani,-20.3,-66.9333,3.34,33,20,3.44,BO,1717992487
375,tsiombe,-25.3,45.4833,18.27,64,88,5.51,MG,1717992487
376,upington,-28.4478,21.2561,8.69,55,0,5.43,ZA,1717992487
377,nagornyy,52.7959,83.5498,20.52,68,100,2.75,RU,1717992488
378,marsa alam,25.0757,34.8918,30.85,32,0,4.45,EG,1717992488
379,shizuishan,39.2333,106.7694,30.82,20,49,2.4,CN,1717992488
380,alo,7.4178,6.7371,23.97,96,100,1.81,NG,1717992488
381,saruhanli,38.7346,27.5681,22.31,54,0,1.03,TR,1717992488
382,moa,20.6569,-74.9403,26.69,90,100,2.79,CU,1717992489
383,arraial do cabo,-22.9661,-42.0278,22.58,82,24,11.83,BR,1717992489
384,khamharia,20.9833,82.2667,36.06,38,39,3.26,IN,1717992489
385,mbandaka,0.0487,18.2603,23.0,80,96,1.65,CD,1717992489
386,xapuri,-10.6517,-68.5044,22.65,73,93,0.82,BR,1717992489
387,cesky brod,50.0742,14.8608,16.36,92,100,2.29,CZ,1717992489
388,oriximina,-1.7656,-55.8661,24.04,94,83,1.73,BR,1717992490
389,port-gentil,-0.7193,8.7815,23.75,84,51,3.36,GA,1717992490
390,kabul,34.5,69.4167,21.66,23,0,1.94,AF,1717992315
391,nimaj,26.1497,74.0,34.39,36,77,3.73,IN,1717992491
392,al qusayr,34.5091,36.5798,23.12,55,0,1.18,SY,1717992492
393,vorgashor,67.5833,63.95,2.11,96,100,2.7,RU,1717992492
394,barcelos,41.5388,-8.6151,18.25,89,44,1.26,PT,1717992492
395,flin flon,54.7682,-101.865,7.58,91,41,2.42,CA,1717992492
396,skovorodino,53.9833,123.9167,21.99,31,97,2.53,RU,1717992492
397,coruripe,-10.1256,-36.1756,23.76,80,41,3.39,BR,1717992493
398,siuri,23.9167,87.5333,40.76,25,85,2.41,IN,1717992493
399,mount gambier,-37.8333,140.7667,15.19,61,100,4.64,AU,1717992493
400,waddan,29.1614,16.139,26.94,15,0,3.46,LY,1717992493
401,tobelo,1.7284,128.0095,29.21,73,90,1.57,ID,1717992493
402,cheongju-si,36.6372,127.4897,30.26,40,22,4.11,KR,1717992494
403,'ain el melh,34.8415,4.1638,19.9,33,59,4.69,DZ,1717992494
404,imbituba,-28.24,-48.6703,21.03,79,2,1.78,BR,1717992494
405,westport,41.1415,-73.3579,17.99,70,0,2.57,US,1717992269
406,malakanagiri,18.35,81.9,33.19,51,24,1.88,IN,1717992494
407,fada,9.5667,8.3,20.73,98,100,2.4,NG,1717992494
408,fengxian,34.7039,116.5872,37.32,23,74,3.36,CN,1717992495
409,alburquerque,39.2208,-7.0023,15.32,95,99,1.59,ES,1717992495
410,fale old settlement,-9.3852,-171.2468,28.08,78,54,7.94,TK,1717992495
411,flinders view,-27.6505,152.7745,23.88,31,0,3.09,AU,1717992495
412,tazacorte,28.629,-17.9293,19.54,89,0,2.24,ES,1717992495
413,juba,4.8517,31.5825,20.95,84,14,1.39,SS,1717992496
414,nsanje,-16.92,35.262,16.51,95,89,1.79,MW,1717992496
415,nieuw amsterdam,5.8833,-55.0833,25.39,89,100,2.51,SR,1717992496
416,mount isa,-20.7333,139.5,25.87,24,11,3.6,AU,1717992496
417,san luis de la loma,17.2706,-100.8939,26.17,78,100,3.53,MX,1717992496
418,podgornoye,51.735,39.1496,18.12,68,100,2.0,RU,1717992496
419,malayer,34.2969,48.8235,23.2,26,26,2.13,IR,1717992497
420,faya-largeau,17.9257,19.1043,30.25,15,8,4.82,TD,1717992497
421,nikolayevsk-on-amure,53.1406,140.73,10.12,97,100,1.79,RU,1717992497
422,gornopravdinsk,60.05,69.9,19.63,51,97,2.8,RU,1717992497
423,kincardine,56.0667,-3.7167,9.15,82,55,2.87,GB,1717992497
424,manokwari,-0.8667,134.0833,29.53,65,80,2.99,ID,1717992497
425,moyale,3.5167,39.0584,18.3,70,87,3.27,KE,1717992498
426,andergrove,-21.0833,149.1833,26.94,53,0,4.45,AU,1717992498
427,clearwater,27.9659,-82.8001,28.96,81,0,2.68,US,1717992498
428,vernon,50.2581,-119.2691,20.2,74,100,1.75,CA,1717992498
429,muromtsevo,56.3724,75.2418,18.69,67,100,5.47,RU,1717992498
430,lamesa,32.7376,-101.951,19.18,63,100,3.16,US,1717992499
431,kalulushi,-12.8378,28.0919,10.11,92,94,2.58,ZM,1717992499
432,port moresby,-9.4431,147.1797,28.12,76,70,8.98,PG,1717992499
433,santa rosalia,27.3167,-112.2833,26.88,35,0,4.13,MX,1717992499
434,santa cruz,-17.8,-63.1667,21.7,88,4,4.63,BO,1717992499
435,tabou,4.423,-7.3528,24.84,92,100,2.78,CI,1717992500
436,puerto lempira,15.2667,-83.7667,27.71,87,84,4.13,HN,1717992500
437,al wakrah,24.85,51.3333,32.05,49,0,3.42,QA,1717992500
438,ellensburg,46.9965,-120.5479,23.8,45,0,6.69,US,1717992500
439,trancas,-26.2314,-65.2803,14.81,74,88,0.31,AR,1717992500
440,mumbwa,-14.9783,27.0619,10.8,87,0,3.15,ZM,1717992500
441,chesma,53.8111,60.6533,14.92,90,100,4.55,RU,1717992501
442,quelimane,-17.8786,36.8883,19.81,72,81,3.21,MZ,1717992501
443,coahuayana de hidalgo,18.7,-103.6583,23.17,89,16,0.89,MX,1717992501
444,fontem,5.4685,9.8818,19.23,97,100,0.41,CM,1717992501
445,gorom-gorom,14.4439,-0.2361,33.49,36,28,6.1,BF,1717992501
446,plastun,44.7561,136.2939,21.29,53,80,3.52,RU,1717992501
447,san martin,-33.081,-68.4681,12.06,44,64,4.29,AR,1717992502
448,floriano,-6.7669,-43.0225,28.23,44,93,3.52,BR,1717992502
449,port augusta,-32.5,137.7667,22.42,28,80,7.54,AU,1717992502
450,virac,13.6333,124.2167,27.51,66,100,2.74,PH,1717992502
451,suhbaatar,50.2314,106.2078,20.49,64,100,4.37,MN,1717992502
452,hadsund,56.7148,10.1168,10.95,85,59,8.74,DK,1717992503
453,alenquer,-1.9417,-54.7383,23.64,95,88,1.2,BR,1717992503
454,kargopol',61.5071,38.9456,10.93,82,100,2.84,RU,1717992503
455,gamay,12.3854,125.2979,30.54,73,99,2.85,PH,1717992503
456,aykhal,66.0,111.5,22.47,24,60,3.92,RU,1717992503
457,zheleznogorsk,52.331,35.3711,16.5,81,88,2.99,RU,1717992504
458,magadan,59.5667,150.8,11.96,80,89,2.05,RU,1717992504
459,la passe,45.5549,-0.8967,13.13,83,68,4.3,FR,1717992504
460,barra dos coqueiros,-10.9089,-37.0386,26.01,78,20,4.12,BR,1717992504
461,holualoa,19.6228,-155.9522,24.91,78,75,3.09,US,1717992504
462,pavlodar,52.3,76.95,20.89,78,75,5.0,KZ,1717992504
463,abepura,-2.6333,140.5833,31.45,70,20,4.63,ID,1717992505
464,iguape,-24.7081,-47.5553,18.81,82,18,1.75,BR,1717992505
465,prince rupert,54.3161,-130.3201,11.33,73,61,1.4,CA,1717992505
466,essaouira,31.5125,-9.77,18.32,84,100,0.54,MA,1717992505
467,gadzhiyevo,69.2551,33.3362,7.66,83,68,3.17,RU,1717992505
468,ongjin,37.9347,125.3619,24.0,69,1,3.62,KP,1717992505
469,khamis mushait,18.3064,42.7292,24.58,49,0,2.06,SA,1717992506
470,ylitornio,66.3089,23.6773,8.49,91,100,2.3,FI,1717992506
471,usogorsk,63.4106,48.6872,10.37,71,18,2.56,RU,1717992506
472,contamana,-7.3333,-75.0167,23.67,86,39,1.1,PE,1717992506
473,lerwick,60.1545,-1.1494,8.0,77,100,9.27,GB,1717992506
474,tual,-5.6667,132.75,26.73,84,13,9.73,ID,1717992506
475,heihe,50.2441,127.4902,24.32,32,31,0.75,CN,1717992507
476,klyuchi,52.2667,79.1667,25.4,61,65,4.7,RU,1717992507
477,thomson,33.4707,-82.5046,28.79,75,0,0.0,US,1717992507
478,cabedelo,-6.9811,-34.8339,23.37,79,16,5.31,BR,1717992507
479,bahia honda,22.9036,-83.1592,25.05,92,21,3.15,CU,1717992507
480,altamira,-3.2033,-52.2064,22.43,97,31,0.62,BR,1717992508
481,ujae,8.9322,165.7642,28.75,78,10,7.12,MH,1717992508
482,waterbeach,52.2655,0.1912,12.18,94,100,7.96,GB,1717992508
483,fuyang,32.9,115.8167,34.47,34,89,3.68,CN,1717992508
484,al harithah,30.7186,47.7208,36.79,20,65,6.05,IQ,1717992508
485,miramichi,47.0043,-65.4654,12.88,98,100,3.56,CA,1717992508
486,kabansk,52.0486,106.6528,18.08,82,100,4.19,RU,1717992509
487,kone,-21.0595,164.8658,26.74,63,52,4.16,NC,1717992509
488,benjamin constant,-4.3831,-70.0311,23.07,99,88,0.38,BR,1717992509
489,point pedro,9.8167,80.2333,29.88,75,100,8.27,LK,1717992509
490,kayyerkan,69.3786,87.7439,3.5,99,100,1.83,RU,1717992509
491,whakatane,-37.9585,176.9854,18.21,91,71,0.45,NZ,1717992379
492,mulayjah,27.271,48.4242,35.07,29,0,3.97,SA,1717992510
493,tanjung sepat,2.6579,101.5629,32.83,70,40,1.54,MY,1717992510
494,sisimiut,66.9395,-53.6735,0.04,92,100,2.27,GL,1717992510
495,kangaba,11.9333,-8.4167,27.83,62,100,1.52,ML,1717992510
496,papagaios,-19.4492,-44.7478,15.14,85,41,2.13,BR,1717992510
497,miles city,46.4083,-105.8406,22.54,46,100,6.17,US,1717992511
498,yeraliyev,43.2,51.65,28.07,39,100,4.77,KZ,1717992511
499,keflavik,64.0049,-22.5624,5.24,93,0,3.09,IS,1717992511
500,gaiman,-43.2897,-65.4929,9.48,66,15,3.54,AR,1717992511
501,malango,-2.9627,119.9001,27.45,64,81,2.28,ID,1717992511
502,devonport,-41.1667,146.35,11.4,67,14,0.45,AU,1717992511
503,inarajan village,13.2736,144.7484,33.54,81,84,6.35,GU,1717992512
504,palikir - national government center,6.9248,158.1611,29.41,79,100,2.06,FM,1717992512
505,lawas,13.764,121.0566,31.62,66,100,4.64,PH,1717992512
506,gardnerville ranchos,38.8882,-119.7413,23.94,34,0,0.0,US,1717992512
507,morwell,-38.2333,146.4,13.0,48,61,1.37,AU,1717992512
508,chinde,26.8418,88.0763,25.82,62,14,2.21,NP,1717992512
509,yinchuan,38.4681,106.2731,30.61,22,77,2.91,CN,1717992513
510,machico,32.7,-16.7667,20.56,79,75,3.09,PT,1717992513
511,kavalerovo,44.2661,135.0572,20.86,51,64,4.02,RU,1717992513
512,taungdwingyi,20.0167,95.55,33.42,53,89,3.45,MM,1717992513
513,balakhta,55.38,91.6,16.22,67,34,6.37,RU,1717992513
514,farshut,26.0549,32.1633,27.45,23,0,2.95,EG,1717992514
515,pedregulho,-20.2569,-47.4767,14.97,68,22,1.98,BR,1717992514
516,chatel-guyon,45.9167,3.0667,9.18,100,75,1.03,FR,1717992514
517,victorica,-36.2151,-65.4359,12.8,46,100,0.86,AR,1717992514
518,kapoeta,4.7717,33.5903,24.34,67,69,2.15,SS,1717992514
519,miguel ahumada,30.6167,-106.5167,26.1,15,39,2.14,MX,1717992514
520,nanao,37.05,136.9667,22.33,77,84,1.12,JP,1717992515
521,belle chasse,29.8549,-89.9906,29.99,61,6,0.45,US,1717992515
522,majuro,7.0897,171.3803,30.98,74,40,9.26,MH,1717992515
523,ciudad melchor muzquiz,27.8833,-101.5167,25.43,67,41,5.21,MX,1717992515
524,salinopolis,-0.6136,-47.3561,25.82,88,86,5.01,BR,1717992515
525,ca mau,9.1769,105.15,29.3,66,98,4.54,VN,1717992515
526,upata,8.0086,-62.3989,23.37,94,100,1.21,VE,1717992516
527,yankton,42.8711,-97.3973,18.14,52,45,2.57,US,1717992516
528,kibale,0.8,31.0667,15.39,81,62,0.53,UG,1717992516
529,lata,40.1629,-8.3327,16.15,96,100,0.18,PT,1717992516
530,labytnangi,66.6572,66.4183,16.32,63,65,2.34,RU,1717992516
531,fomboni,-12.28,43.7425,27.17,63,40,8.88,KM,1717992516
532,nema,57.5067,50.5011,17.68,65,94,2.2,RU,1717992517
533,pirenopolis,-15.8525,-48.9592,17.32,61,77,2.81,BR,1717992517
534,tanjung pandan,-2.75,107.65,32.22,57,100,2.57,ID,1717992517
535,ironwood,46.4547,-90.171,7.12,100,20,0.0,US,1717992517
536,laem sing,12.4816,102.0738,26.75,89,100,9.26,TH,1717992517
537,irbit,57.6705,63.071,14.73,92,97,1.58,RU,1717992518
538,bowie,33.4501,-94.4335,28.04,85,32,4.02,US,1717992518
539,mwingi,-0.9344,38.0601,16.88,90,91,1.86,KE,1717992518
540,kalemie,-5.9475,29.1947,21.96,62,12,6.78,CD,1717992518
541,taltal,-25.4,-70.4833,15.36,77,0,1.45,CL,1717992518
542,skowhegan,44.7651,-69.7192,14.31,96,19,2.16,US,1717992518
543,smithers,54.7804,-127.1743,17.65,64,75,1.71,CA,1717992519
544,east london,-33.0153,27.9116,14.78,51,12,2.3,ZA,1717992519
545,shetpe,44.1667,52.1167,27.38,33,95,6.18,KZ,1717992519
546,puerto penasco,31.3167,-113.5333,26.62,74,56,3.58,MX,1717992519
547,wotho,10.1657,166.0102,28.61,79,92,6.79,MH,1717992519
548,stephenville,32.2207,-98.2023,26.25,79,0,0.0,US,1717992519
549,sitia,35.2,26.0986,26.1,49,0,3.04,GR,1717992520
550,iranshahr,27.2025,60.6848,32.55,28,0,0.64,IR,1717992520
551,puerto ayacucho,5.6639,-67.6236,23.56,95,100,0.08,VE,1717992520
552,lazaro cardenas,17.9583,-102.2,25.27,79,47,2.27,MX,1717992520
553,uturoa,-16.7333,-151.4333,25.64,81,92,7.71,PF,1717992520
554,ra's bayrut,33.9,35.4833,26.17,69,0,2.57,LB,1717992520
555,merlo,-32.3429,-65.014,13.38,49,100,8.16,AR,1717992521
556,nova xavantina,-14.6667,-52.35,20.79,56,15,0.79,BR,1717992521
557,pechora,65.1472,57.2244,9.92,97,100,1.79,RU,1717992521
558,fort mcmurray,56.7268,-111.381,11.77,87,100,2.06,CA,1717992286
559,hammerfest,70.6634,23.6821,13.25,62,0,3.6,NO,1717992521
560,oxelosund,58.6706,17.1015,10.21,76,75,5.66,SE,1717992521
561,olinda,-8.0089,-34.8553,26.85,78,20,6.17,BR,1717992521
562,vadso,70.0744,29.7487,6.49,100,100,9.77,NO,1717992522
563,fort st. john,56.2499,-120.8529,6.52,83,100,0.75,CA,1717992522
